caseNumber,caseCategory,caseFormula,family,identifier,end,field,reference,solver,signedAbsoluteError,absoluteError,signedRelativeError,absoluteRelativeError,signedPercentError,absolutePercentError,strictLimit,failureReason
3,OPE,W+T1+P1,localForce,198-199,I,fx,-787.562561,-867.7161267295415,-80.15356572954158,80.15356572954158,0.10177422048575718,0.10177422048575718,10.177422048575718,10.177422048575718,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,198-199,I,my,-682.719788,-807.0168681717238,-124.29708017172379,124.29708017172379,0.18206163400631328,0.18206163400631328,18.20616340063133,18.20616340063133,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,198-199,I,mz,14.79526,9.449889084045068,-5.345370915954932,5.345370915954932,-0.36128942079794013,0.36128942079794013,-36.128942079794015,36.128942079794015,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,198-199,J,my,147.774979,253.48225217681463,105.70727317681462,105.70727317681462,0.7153259225082659,0.7153259225082659,71.53259225082658,71.53259225082658,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,199-200,I,my,-147.774979,-253.48225217682887,-105.70727317682886,105.70727317682886,0.7153259225083622,0.7153259225083622,71.53259225083623,71.53259225083623,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,199-200,J,fz,-807.437073,-887.58539555135,-80.1483225513499,80.1483225513499,0.09926262396345269,0.09926262396345269,9.926262396345269,9.926262396345269,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,199-200,J,mx,53.581661,60.44550898360197,6.863847983601971,6.863847983601971,0.1281006944447275,0.1281006944447275,12.810069444472749,12.810069444472749,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,199-200,J,my,-127.67424,-35.03309065312804,92.64114934687196,92.64114934687196,-0.7256056456405925,0.7256056456405925,-72.56056456405925,72.56056456405925,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,200-208,I,fz,807.437073,887.5853955497221,80.14832254972202,80.14832254972202,0.09926262396143658,0.09926262396143658,9.926262396143658,9.926262396143658,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,200-208,I,mx,-53.581661,-60.44550898360791,-6.863847983607911,6.863847983607911,0.12810069444483835,0.12810069444483835,12.810069444483835,12.810069444483835,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,200-208,I,my,127.67424,35.03309065313199,-92.641149346868,92.641149346868,-0.7256056456405615,0.7256056456405615,-72.56056456405615,72.56056456405615,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,200-208,J,fz,-1050.852905,-1131.0005231712323,-80.14761817123235,80.14761817123235,0.07626911225147381,0.07626911225147381,7.626911225147381,7.626911225147381,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,200-208,J,mx,53.581661,60.44550898360791,6.863847983607911,6.863847983607911,0.12810069444483835,0.12810069444483835,12.810069444483835,12.810069444483835,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,208-209,I,fz,1050.852905,1131.0005231832965,80.14761818329657,80.14761818329657,0.07626911226295423,0.07626911226295423,7.626911226295423,7.626911226295423,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,208-209,I,mx,-53.581661,-60.44550898360658,-6.863847983606583,6.863847983606583,0.12810069444481356,0.12810069444481356,12.810069444481357,12.810069444481357,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,209-210,J,fx,-1070.727295,-1150.8685938166927,-80.14129881669282,80.14129881669282,0.07484753512022203,0.07484753512022203,7.484753512022204,7.484753512022204,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,209-210,J,mz,14.795216,9.449889082255275,-5.345326917744725,5.345326917744725,-0.36128752143562654,0.36128752143562654,-36.12875214356265,36.12875214356265,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,210-218,I,fx,1070.727295,1150.868593803374,80.14129880337418,80.14129880337418,0.07484753510778315,0.07484753510778315,7.484753510778315,7.484753510778315,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,210-218,I,my,-14.795216,-9.449889082248774,5.345326917751226,5.345326917751226,-0.36128752143606596,0.36128752143606596,-36.1287521436066,36.1287521436066,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,210-218,J,fx,-1150.532959,-1230.6740001237486,-80.14104112374866,80.14104112374866,0.06965558048280882,0.06965558048280882,6.965558048280881,6.965558048280881,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,218-219,I,fx,1150.532959,1230.6740001322141,80.14104113221424,80.14104113221424,0.06965558049016678,0.06965558049016678,6.9655580490166775,6.9655580490166775,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,218-219,J,fx,-1243.581299,-1309.644035401635,-66.062736401635,66.062736401635,0.053122973507850245,0.053122973507850245,5.312297350785024,5.312297350785024,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,218-219,J,fz,397.571442,444.8406739732948,47.269231973294836,47.269231973294836,0.1188949380657347,0.1188949380657347,11.88949380657347,11.88949380657347,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,219-220,I,fx,1243.581299,1309.6440354132483,66.06273641324833,66.06273641324833,0.05312297351718887,0.05312297351718887,5.312297351718887,5.312297351718887,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,219-220,I,fz,-397.571442,-444.84067398838334,-47.26923198838335,47.26923198838335,0.11889493810368641,0.11889493810368641,11.889493810368641,11.889493810368641,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,219-220,J,fz,1170.407349,1250.5420709124728,80.13472191247274,80.13472191247274,0.06846737760228531,0.06846737760228531,6.846737760228532,6.846737760228532,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,219-220,J,mz,35.542133,43.38471263161486,7.842579631614861,7.842579631614861,0.220655851791868,0.220655851791868,22.0655851791868,22.0655851791868,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,220-230,I,fz,1170.407349,1250.542070911895,80.13472191189499,80.13472191189499,0.06846737760179168,0.06846737760179168,6.846737760179169,6.846737760179169,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,220-230,I,mz,35.542133,43.38471263160321,7.842579631603208,7.842579631603208,0.22065585179154013,0.22065585179154013,22.065585179154013,22.065585179154013,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,220-230,J,fz,-1180.801636,-1260.93623330967,-80.13459730966997,80.13459730966997,0.06786457171682812,0.06786457171682812,6.786457171682812,6.786457171682812,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,230-240,I,fz,1180.801636,1260.9362333096688,80.13459730966883,80.13459730966883,0.06786457171682717,0.06786457171682717,6.7864571716827164,6.7864571716827164,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,230-240,J,my,-365.070862,-411.873666782119,-46.80280478211904,46.80280478211904,0.12820197296961772,0.12820197296961772,12.820197296961771,12.820197296961771,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,248-249,I,fy,102.327087,122.69933347275946,20.372246472759457,20.372246472759457,0.19908947933560794,0.19908947933560794,19.908947933560796,19.908947933560796,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,248-249,I,mx,-42.567078,-47.00435816644848,-4.437280166448481,4.437280166448481,0.10424206628532222,0.10424206628532222,10.424206628532222,10.424206628532222,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,248-249,I,my,232.211517,218.31869596396731,-13.892821036032672,13.892821036032672,-0.05982830315876483,0.05982830315876483,-5.982830315876483,5.982830315876483,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,248-249,J,fy,-102.327087,-122.69933347128972,-20.372246471289714,20.372246471289714,0.19908947932124474,0.19908947932124474,19.908947932124473,19.908947932124473,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,248-249,J,fz,-204.388016,-188.6800931608161,15.70792283918388,15.70792283918388,-0.07685344349731288,0.07685344349731288,-7.685344349731288,7.685344349731288,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,248-249,J,mx,11.319866,14.55729380327038,3.2374278032703803,3.2374278032703803,0.2859952408686093,0.2859952408686093,28.599524086860928,28.599524086860928,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,248-249,J,my,-264.270081,-248.70438628869383,15.565694711306179,15.565694711306179,-0.058900707383921294,0.058900707383921294,-5.890070738392129,5.890070738392129,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,248-249,J,mz,-45.649292,-48.04413908397226,-2.394847083972259,2.394847083972259,0.05246186696547799,0.05246186696547799,5.246186696547799,5.246186696547799,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,249-250,I,fy,102.327087,122.69933346869948,20.372246468699473,20.372246468699473,0.1990894792959314,0.1990894792959314,19.90894792959314,19.90894792959314,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,249-250,I,fz,204.388016,188.68009317329341,-15.707922826706579,15.707922826706579,-0.07685344343626575,0.07685344343626575,-7.685344343626575,7.685344343626575,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
3,OPE,W+T1+P1,localForce,249-250,I,mx,-11.319866,-14.557293803276522,-3.237427803276523,3.237427803276523,0.2859952408691519,0.2859952408691519,28.59952408691519,28.59952408691519,0.05,RELATIVE_ERROR_NOT_BELOW_5_PERCENT
